"What would be the asymptotic time complexity to insert an element at the second position in the linked list?",a) O(1)
b) O(n)
c) O(n2)
d) O(n3),"a",""
"The concatenation of two lists can be performed in O(1) time. Which of the following variation of the linked list can be used?",a) Singly linked list
b) Doubly linked list
c) Circular doubly linked list
d) Array implementation of list,"c",""
"Consider the following definition in c programming language.",a) ptr = (NODE*)malloc(sizeof(NODE));
b) ptr = (NODE*)malloc(NODE);
c) ptr = (NODE*)malloc(sizeof(NODE*));
d) ptr = (NODE)malloc(sizeof(NODE));,"a",""
"What kind of linked list is best to answer questions like “What is the item at position n?”",a) Singly linked list
b) Doubly linked list
c) Circular linked list
d) Array implementation of linked list,"d",""
"Linked lists are not suitable for the implementation of ___________",a) Insertion sort
b) Radix sort
c) Polynomial manipulation
d) Binary search,"d",""
"Linked list is considered as an example of ___________ type of memory allocation.",a) Dynamic
b) Static
c) Compile time
d) Heap,"a",""
"In Linked List implementation, a node carries information regarding ___________",a) Data
b) Link
c) Data and Link
d) Node,"c",""
"Linked list data structure offers considerable saving in _____________",a) Computational Time
b) Space Utilization
c) Space Utilization and Computational Time
d) Speed Utilization,"c",""
"Which of the following points is/are not true about Linked List data structure when it is compared with an array?",a) Arrays have better cache locality that can make them better in terms of performance
b) It is easy to insert and delete elements in Linked List
c) Random access is not allowed in a typical implementation of Linked Lists
d) Access of elements in linked list takes less time than compared to arrays,"d",""
"What does the following function do for a given Linked List with first node as head?",a) Prints all nodes of linked lists
b) Prints all nodes of linked list in reverse order
c) Prints alternate nodes of Linked List
d) Prints alternate nodes in reverse order,"b",""
"Which of the following sorting algorithms can be used to sort a random linked list with minimum time complexity?",a) Insertion Sort
b) Quick Sort
c) Heap Sort
d) Merge Sort,"d",""
"Which of the following is not a disadvantage to the usage of array?",a) Fixed size
b) There are chances of wastage of memory space if elements inserted in an array are lesser than the allocated size
c) Insertion based on position
d) Accessing elements at specified positions,"d",""
"What is the time complexity of inserting at the end in dynamic arrays?",a) O(1)
b) O(n)
c) O(logn)
d) Either O(1) or O(n),"d",""
"What is the time complexity to count the number of elements in the linked list?",a) O(1)
b) O(n)
c) O(logn)
d) O(n2),"b",""
"Which of the following performs deletion of the last element in the list? Given below is the Node class.",,"a",""
"What is the functionality of the following code?",a) Inserting a node at the beginning of the list
b) Deleting a node at the beginning of the list
c) Inserting a node at the end of the list
d) Deleting a node at the end of the list,"c",""
"What is the space complexity for deleting a linked list?",a) O(1)
b) O(n)
c) Either O(1) or O(n)
d) O(logn),"a",""
"How would you delete a node in the singly linked list? The position to be deleted is given.",,"a",""
"Which of these is not an application of a linked list?",a) To implement file systems
b) For separate chaining in hash-tables
c) To implement non-binary trees
d) Random Access of elements,"d",""
"Which of the following piece of code has the functionality of counting the number of elements in the list?",,"a",""
"How do you insert an element at the beginning of the list?",,"a",""
"What is the functionality of the following piece of code?",a) Find and delete a given element in the list
b) Find and return the given element in the list
c) Find and return the position of the given element in the list
d) Find and insert a new element in the list,"c",""
"Which of the following is false about a doubly linked list?",a) We can navigate in both the directions
b) It requires more space than a singly linked list
c) The insertion and deletion of a node take a bit longer
d) Implementing a doubly linked list is easier than singly linked list,"d",""
"Given the Node class implementation, select one of the following that correctly inserts a node at the tail of the list.",,"",""
"What differentiates a circular linked list from a normal linked list?",a) You cannot have the ‘next’ pointer point to null in a circular linked list
b) It is faster to traverse the circular linked list
c) You may or may not have the ‘next’ pointer point to null in a circular linked list
d) Head node is known in circular linked list,"c",""
"How do you count the number of elements in the circular linked list?",,"",""
"Which of the following real world scenarios would you associate with a stack data structure?",a) piling up of chairs one above the other
b) people standing in a line to be serviced at a counter
c) offer services based on the priority of the customer
d) tatkal Ticket Booking in IRCTC,"a",""
"What does the following function check for? (all necessary headers to be included and function is called from main)",a) full stack
b) invalid index
c) empty stack
d) infinite stack,"c",""
"What does ‘stack underflow’ refer to?",a) accessing item from an undefined stack
b) adding items to a full stack
c) removing items from an empty stack
d) index out of bounds exception,"c",""
"What is the output of the following program?",a) stack is full
b) 20
c) 0
d) -999,"d",""
"What is the time complexity of pop() operation when the stack is implemented using an array?",a) O(1)
b) O(n)
c) O(logn)
d) O(nlogn),"a",""
"Which of the following array position will be occupied by a new element being pushed for a stack of size N elements(capacity of stack > N)?",a) S[N-1] 
b) S[N] 
c) S[1] 
d) S[0] ,"b",""
"What happens when you pop from an empty stack while implementing using the Stack ADT in Java?",a) Undefined error
b) Compiler displays a warning
c) EmptyStackException is thrown
d) NoStackException is thrown,"c",""
"What is the functionality of the following piece of Java code?",a) print alternate elements of array
b) duplicate the given array
c) parentheses matching
d) reverse the array,"d",""
"Array implementation of Stack is not dynamic, which of the following statements supports this argument?",a) space allocation for array is fixed and cannot be changed during run-time
b) user unable to give the input for stack operations
c) a runtime exception halts execution
d) improper program compilation,"a",""
"Which of the following array element will return the top-of-the-stack-element for a stack of size N elements(capacity of stack > N)?",a) S[N-1] 
b) S[N] 
c) S[N-2] 
d) S[N+1] ,"a",""
"What is the best case time complexity of deleting a node in a Singly Linked list?",a) O (n)
b) O (n2)
c) O (nlogn)
d) O (1),"d",""
"Which of the following statements are not correct with respect to Singly Linked List(SLL) and Doubly Linked List(DLL)?",a) Complexity of Insertion and Deletion at known position is O(n) in SLL and O(1) in DLL
b) SLL uses lesser memory per node than DLL
c) DLL has more searching power than SLL
d) Number of node fields in SLL is more than DLL,"d",""
"Given below is the Node class to perform basic list operations and a Stack class with a no arg constructor.",,"a",""
"What does the following function do?",a) pop
b) delete the top-of-the-stack element
c) retrieve the top-of-the-stack element
d) push operation,"c",""
"What is the functionality of the following piece of code?",a) reverse the list
b) display the list
c) display the list excluding top-of-the-stack-element
d) reverse the list excluding top-of-the-stack-element,"b",""
"What does ‘stack overflow’ refer to?",a) accessing item from an undefined stack
b) adding items to a full stack
c) removing items from an empty stack
d) index out of bounds exception,"b",""
"Given below is the Node class to perform basic list operations and a Stack class with a no arg constructor. Select from the options the appropriate push() operation that can be included in the Stack class. Also ‘first’ is the top-of-the-stack.",,"a",""
"Consider these functions:",a) 20
b) 4
c) stack underflow
d) 5,"d",""
"Which of the following data structures can be used for parentheses matching?",a) n-ary tree
b) queue
c) priority queue
d) stack,"d",""
"Minimum number of queues to implement stack is ___________",a) 3
b) 4
c) 1
d) 2,"c",""
"Which of the following properties is associated with a queue?",a) First In Last Out
b) First In First Out
c) Last In First Out
d) Last In Last Out,"b",""
"In a circular queue, how do you increment the rear end of the queue?",a) rear++
b) (rear+1) % CAPACITY
c) (rear % CAPACITY)+1
d) rear–,"b",""
"What is the term for inserting into a full queue known as?",a) overflow
b) underflow
c) null pointer exception
d) program won’t be compiled,"a",""
"What is the time complexity of enqueue operation?",a) O(logn)
b) O(nlogn)
c) O(n)
d) O(1),"d",""
"What does the following Java code do?",a) Dequeue
b) Enqueue
c) Return the front element
d) Return the last element,"c",""
"What is the need for a circular queue?",a) effective usage of memory
b) easier computations
c) to delete elements based on priority
d) implement LIFO principle in queues,"a",""
"Which of the following represents a dequeue operation? (count is the number of elements in the queue)",,"a",""
"Which of the following best describes the growth of a linear queue at runtime? (Q is the original queue, size() returns the number of elements in the queue)",,"a",""
"What is the space complexity of a linear queue having n elements?",a) O(n)
b) O(nlogn)
c) O(logn)
d) O(1),"a",""
"What is the output of the following Java code?",a) 3 3
b) 3 6
c) 6 6
d) 10 6,"a",""
"In linked list implementation of queue, if only front pointer is maintained, which of the following operation take worst case linear time?",a) Insertion
b) Deletion
c) To empty a queue
d) Both Insertion and To empty a queue,"d",""
"In linked list implementation of a queue, where does a new element be inserted?",a) At the head of link list
b) At the centre position in the link list
c) At the tail of the link list
d) At any position in the linked list,"c",""
"In linked list implementation of a queue, front and rear pointers are tracked. Which of these pointers will change during an insertion into a NONEMPTY queue?",a) Only front pointer
b) Only rear pointer
c) Both front and rear pointer
d) No pointer will be changed,"b",""
"In linked list implementation of a queue, front and rear pointers are tracked. Which of these pointers will change during an insertion into EMPTY queue?",a) Only front pointer
b) Only rear pointer
c) Both front and rear pointer
d) No pointer will be changed,"c",""
"In case of insertion into a linked queue, a node borrowed from the __________ list is inserted in the queue.",a) AVAIL
b) FRONT
c) REAR
d) NULL,"a",""
"In linked list implementation of a queue, from where is the item deleted?",a) At the head of link list
b) At the centre position in the link list
c) At the tail of the link list
d) Node before the tail,"a",""
"In linked list implementation of a queue, the important condition for a queue to be empty is?",a) FRONT is null
b) REAR is null
c) LINK is empty
d) FRONT==REAR-1,"a",""
"The essential condition which is checked before insertion in a linked queue is?",a) Underflow
b) Overflow
c) Front value
d) Rear value,"b",""
"The essential condition which is checked before deletion in a linked queue is?",a) Underflow
b) Overflow
c) Front value
d) Rear value,"a",""
"Which of the following is true about linked list implementation of queue?",a) In push operation, if new nodes are inserted at the beginning of linked list, then in pop operation, nodes must be removed from end
b) In push operation, if new nodes are inserted at the beginning, then in pop operation, nodes must be removed from the beginning
c) In push operation, if new nodes are inserted at the end, then in pop operation, nodes must be removed from end
d) In push operation, if new nodes are inserted at the end, then in pop operation, nodes must be removed from beginning,"a",""
"With what data structure can a priority queue be implemented?",a) Array
b) List
c) Heap
d) Tree,"d",""
"Which of the following is not an application of priority queue?",a) Huffman codes
b) Interrupt handling in operating system
c) Undo operation in text editors
d) Bayesian spam filter,"c",""
"Select the appropriate code that inserts elements into the list based on the given key value.",,"a",""
"What is the time complexity to insert a node based on key in a priority queue?",a) O(nlogn)
b) O(logn)
c) O(n)
d) O(n2),"c",""
"What is the functionality of the following piece of code?",a) Delete the second element in the list
b) Return but not delete the second element in the list
c) Delete the first element in the list
d) Return but not delete the first element in the list,"c",""
"What is not a disadvantage of priority scheduling in operating systems?",a) A low priority process might have to wait indefinitely for the CPU
b) If the system crashes, the low priority systems may be lost permanently
c) Interrupt handling
d) Indefinite blocking,"c",""
"Which of the following is not an advantage of a priority queue?",a) Easy to implement
b) Processes with different priority can be efficiently handled
c) Applications with differing requirements
d) Easy to delete elements in any case,"d",""
"What is the time complexity to insert a node based on position in a priority queue?",a) O(nlogn)
b) O(logn)
c) O(n)
d) O(n2),"c",""
"What is a dequeue?",a) A queue with insert/delete defined for both front and rear ends of the queue
b) A queue implemented with a doubly linked list
c) A queue implemented with both singly and doubly linked lists
d) A queue with insert/delete defined for front side of the queue,"a",""
"Select the function which performs insertion at the front end of the dequeue?",,"",""
"A Double-ended queue supports operations such as adding and removing items from both the sides of the queue. They support four operations like addFront(adding item to top of the queue), addRear(adding item to the bottom of the queue), removeFront(removing item from the top of the queue) and removeRear(removing item from the bottom of the queue). You are given only stacks to implement this data structure. You can implement only push and pop operations. What are the total number of stacks required for this operation?(you can reuse the stack)",a) 1
b) 2
c) 3
d) 4,"b",""
"You are asked to perform a queue operation using a stack. Assume the size of the stack is some value ‘n’ and there are ‘m’ number of variables in this stack. The time complexity of performing deQueue operation is (Using only stack operations like push and pop)(Tightly bound).",a) O(m)
b) O(n)
c) O(m*n)
d) Data is insufficient,"a",""
"Consider you have an array of some random size. You need to perform dequeue operation. You can perform it using stack operation (push and pop) or using queue operations itself (enQueue and Dequeue). The output is guaranteed to be same. Find some differences?",a) They will have different time complexities
b) The memory used will not be different
c) There are chances that output might be different
d) No differences,"a",""
"Consider you have a stack whose elements in it are as follows.",a) Push(pop()), push(6), push(pop())
b) Push(pop()), push(6)
c) Push(pop()), push(pop()), push(6)
d) Push(6),"a",""
"A double-ended queue supports operations like adding and removing items from both the sides of the queue. They support four operations like addFront(adding item to top of the queue), addRear(adding item to the bottom of the queue), removeFront(removing item from the top of the queue) and removeRear(removing item from the bottom of the queue). You are given only stacks to implement this data structure. You can implement only push and pop operations. What’s the time complexity of performing addFront and addRear? (Assume ‘m’ to be the size of the stack and ‘n’ to be the number of elements)",a) O(m) and O(n)
b) O(1) and O(n)
c) O(n) and O(1)
d) O(n) and O(m),"b",""
"Why is implementation of stack operations on queues not feasible for a large dataset (Asssume the number of elements in the stack to be n)?",a) Because of its time complexity O(n)
b) Because of its time complexity O(log(n))
c) Extra memory is not required
d) There are no problems,"a",""
"Consider yourself to be in a planet where the computational power of chips to be slow. You have an array of size 10.You want to perform enqueue some element into this array. But you can perform only push and pop operations .Push and pop operation both take 1 sec respectively. The total time required to perform enQueue operation is?",a) 20
b) 40
c) 42
d) 43,"d",""
"You have two jars, one jar which has 10 rings and the other has none. They are placed one above the other. You want to remove the last ring in the jar. And the second jar is weak and cannot be used to store rings for a long time.",a) Empty the first jar by removing it one by one from the first jar and placing it into the second jar
b) Empty the first jar by removing it one by one from the first jar and placing it into the second jar and empty the second jar by placing all the rings into the first jar one by one
c) There exists no possible way to do this
d) Break the jar and remove the last one,"b",""
"Given only a single array of size 10 and no other memory is available. Which of the following operation is not feasible to implement (Given only push and pop operation)?",a) Push
b) Pop
c) Enqueue
d) Returntop,"c",""
"Given an array of size n, let’s assume an element is ‘touched’ if and only if some operation is performed on it(for example, for performing a pop operation the top element is ‘touched’). Now you need to perform Dequeue operation. Each element in the array is touched atleast?",a) Once
b) Twice
c) Thrice
d) Four times,"d",""
"To implement a stack using queue(with only enqueue and dequeue operations), how many queues will you need?",a) 1
b) 2
c) 3
d) 4,"b",""
"Making the push operation costly, select the code snippet which implements the same.(let q1 and q2 be two queues)",,"",""
"Express -15 as a 6-bit signed binary number.",a) 001111
b) 101111
c) 101110
d) 001110,"b",""
"Which of the following code snippet is used to convert decimal to binary numbers?",,"a",""
"Which is the predefined method available in Java to convert decimal to binary numbers?",a) toBinaryInteger(int)
b) toBinaryValue(int)
c) toBinaryNumber(int)
d) toBinaryString(int),"d",""
"Using stacks, how to obtain the binary representation of the number?",,"c",""
"What is the time complexity for converting decimal to binary numbers?",a) O(1)
b) O(n)
c) O(logn)
d) O(nlogn),"c",""
"Write a piece of code which returns true if the string contains balanced parenthesis, false otherwise.",,"",""
"How many stacks are required for applying evaluation of infix expression algorithm?",a) one
b) two
c) three
d) four,"b",""
"How many passes does the evaluation of infix expression algorithm makes through the input?",a) One
b) Two
c) Three
d) Four,"a",""
"Identify the infix expression from the list of options given below.",a) a/b+(c-d)
b) abc*+d+ab+cd+*ce-f-
c) ab-c-
d) +ab,"a",""
"Which of the following statement is incorrect with respect to evaluation of infix expression algorithm?",a) Operand is pushed on to the stack
b) If the precedence of operator is higher, pop two operands and evaluate
c) If the precedence of operator is lower, pop two operands and evaluate
d) The result is pushed on to the operand stack,"b",""
"Evaluate the following statement using infix evaluation algorithm and choose the correct answer. 1+2*3-2",a) 3
b) 6
c) 5
d) 4,"c",""
"Evaluation of infix expression is done based on precedence of operators.",a) True
b) False,"a",""
"Of the following choices, which operator has the lowest precedence?",a) ^
b) +
c) /
d) #,"d",""
"The system throws an error if parentheses are encountered in an infix expression evaluation algorithm.",a) True
b) False,"b",""
"Evaluate the following and choose the correct answer.",a) 1
b) 4
c) 5
d) 2,"b",""
"Evaluate the following statement using infix evaluation algorithm and choose the correct answer. 4*2+3-5/5",a) 10
b) 11
c) 16
d) 12,"a",""
"Using the evaluation of infix expression, evaluate a^b+c  and choose the correct answer. (a=2, b=2, c=2)",a) 12
b) 8
c) 10
d) 6,"d",""
"Evaluate the following infix expression using algorithm and choose the correct answer. a+b*c-d/e^f  where a=1, b=2, c=3, d=4, e=2, f=2.",a) 6
b) 8
c) 9
d) 7,"a",""
"From the given expression tree, identify the infix expression, evaluate it and choose the correct result.",a) 5
b) 10
c) 12
d) 16,"c",""
"How many stacks are required for evaluation of prefix expression?",a) one
b) two
c) three
d) four,"b",""
"While evaluating a prefix expression, the string is read from?",a) left to right
b) right to left
c) center to right
d) center to left to right,"b",""
"The associativity of an exponentiation operator ^ is right side.",a) True
b) False,"a",""
"How many types of input characters are accepted by this algorithm?",a) one
b) two
c) three
d) four,"c",""
"What determines the order of evaluation of a prefix expression?",a) precedence and associativity
b) precedence only
c) associativity only
d) depends on the parser,"a",""
"Find the output of the following prefix expression.",a) 2
b) 12
c) 10
d) 4,"a",""
"An error is thrown if the character ‘\n’ is pushed in to the character stack.",a) true
b) false,"b",""
"Using the evaluation of prefix algorithm, evaluate +-9 2 7.",a) 10
b) 4
c) 17
d) 14,"d",""
"If -*+abcd = 11, find a, b, c, d using evaluation of prefix algorithm.",a) a=2, b=3, c=5, d=4
b) a=1, b=2, c=5, d=4
c) a=5, b=4, c=7,d=5
d) a=1, b=2, c=3, d=4,"b",""
"In the given C snippet, find the statement number that has error.",,"",""
"void push( struct stack *s, int x) ",,"",""
"{",,"",""
"    if(s->top==MAX-1)",,"",""
"    {",,"",""
"        printf(“stack overflow”);",,"",""
"    }",,"",""
"    else",,"",""
"    {",,"",""
"        s->items[++s->top]=x;",,"",""
"       s++;",,"",""
"   }   ",,"",""
"}",a) 1
b) 9
c) 10
d) 11,"c",""
"What is the other name for a postfix expression?",a) Normal polish Notation
b) Reverse polish Notation
c) Warsaw notation
d) Infix notation,"b",""
"Which of the following is an example for a postfix expression?",a) a*b(c+d)
b) abc*+de-+
c) +ab
d) a+b-c,"b",""
"Reverse Polish Notation is the reverse of a Polish Notation.",a) True
b) False,"b",""
"What is the time complexity of evaluation of postfix expression algorithm?",a) O (N)
b) O (N log N)
c) O (N2)
d) O (M log N),"a",""
"In Postfix expressions, the operators come after the operands.",a) True
b) False,"a",""
"Which of these operators have the highest order of precedence?",a) ‘(‘ and ‘)’
b) ‘*’ and ‘/’
c) ‘~’ and ‘^’
d) ‘+’ and ‘-‘,"c",""
"Which of the following is not an application of stack?",a)  evaluation of postfix expression
b)  conversion of infix to postfix expression
c)  balancing symbols
d)  line at ticket counter,"d",""
"While evaluating a postfix expression, when an operator is encountered, what is the correct operation to be performed?",a) push it directly on to the stack
b) pop 2 operands, evaluate them and push the result on to the stack
c) pop the entire stack
d) ignore the operator,"b",""
"Which of the following statement is incorrect?",a) Postfix operators use value to their right
b) Postfix operators use value to their left
c) Prefix operators use value to their right
d) In postfix expression, operands are followed by operators,"a",""
"What is the result of the given postfix expression?  abc*+ where a=1, b=2, c=3.",a) 4
b) 5
c) 6
d) 7,"d",""
"What is the result of the following postfix expression?",a) 16
b) 12
c) 14
d) 10,"a",""
"Consider the stack",a) 5*4=20 is pushed into the stack
b) * is pushed into the stack
c) 2*3=6 is pushed into the stack
d) * is ignored,"a",""
"Evaluate the postfix expression ab + cd/- where a=5, b=4, c=9, d=3.",a) 23
b) 15
c) 6
d) 10,"c",""
"Evaluate and write the result for the following postfix expression",a) 61
b) 59
c) 60
d) 55,"b",""
"For the given expression tree, write the correct postfix expression.",a) abc*+
b) abc+*
c) ab+c*
d) a+bc*,"a",""
"What data structure is used when converting an infix notation to prefix notation?",a) Stack
b) Queue
c) B-Trees
d) Linked-list,"a",""
"What would be the Prefix notation for the given equation?",a) +A*CB
b) *B+AC
c) +A*BC
d) *A+CB,"c",""
"What would be the Prefix notation for the given equation?",a) +*AB*CD
b) *+AB*CD
c) **AB+CD
d) +*BA*CD,"a",""
"What would be the Prefix notation for the given equation?",a) +A*B^CD
b) +A^B*CD
c) *A+B^CD
d) ^A*B+CD,"a",""
"Out of the following operators (^, *, +, &, $), the one having highest priority is _________",a) +
b) $
c) ^
d) &,"c",""
"Out of the following operators (|, *, +, &, $), the one having lowest priority is ________",a) +
b) $
c) |
d) &,"c",""
"What would be the Prefix notation for the given equation?",a) ^^^ABCD
b) ^A^B^CD
c) ABCD^^^
d) AB^C^D,"a",""
"What would be the Prefix notation for the given equation?",a) |&-+ab/cdef
b) &|-+ab/cdef
c) |&-ab+/cdef
d) |&-+/abcdef,"a",""
"What would be the Prefix notation for the given equation?",a) -+a*/^bcdef
